word,type_id
a,2
ab,2
aba,2
aba-aba,2
abad,2
abadi,1
abadiah,2
abah,2
abai,1
abaimana,2
abaka,2
abaktinal,1
abakus,2
abal-abal,2
aban,2
abang,2
abangan,2
abangga,2
abar,2
abatoar,2
abau,2
abdas,4
abdi,2
abdikasi,2
abdomen,2
abdominal,1
abdu,2
abduksi,2
abduktor,2
abece,2
aben,4
aberasi,2
abet,2
abian,2
abid,1
abidin,2
abiogenesis,2
abiosfer,2
abiotik,1
abis,2
abisal,2
abiseka,2
abiturien,2
abjad,2
abjadiah,1
ablasi,2
ablaut,2
ablepsia,2
abnormal,1
abnormalitas,2
abnus,2
aboi,2
abolisi,2
abonemen,2
aborsi,2
abortif,1
abortus,2
abrak,2
abrakadabra,2
abrar,1
abras,1
abrasi,2
abreaksi,2
abrek,2
abreviasi,2
absah,1
absen,4
absensi,2
absente,2
absenteisme,2
abses,2
absis,2
absolut,1
absolutisme,2
absorben,2
absorpsi,2
absorptif,1
abstain,4
abstinensi,2
abstrak,1
abstraksi,2
absurd,1
absurdisme,2
abtar,1
abu,2
abu-abu,2
abuan,2
abuh,1
abuk,2
abuk-abuk,2
abul,4
abulhayat,2
abulia,2
abur,1
abus,2
acah,4
acak,1
acala,2
acan,4
acang,2
acap,1
acap kali,1
acar,2
acara,2
acaram,2
acat,2
acau,4
acawi,2
aci,1
aci-aci,2
acik,2
aco,4
acu,4
acuh,4
acum,4
acung,4
ad libitum,1
ada,4
adab,2
adad,2
adagio,2
adagium,2
adakala,5
adakan,5
adaks,2
adalah,4
adan,2
adang,4
adap,2
adaptabilitas,2
adaptasi,2
adaptif,1
adaptor,2
adapun,9
adar,4
adas,2
adat,2
adati,1
adegan,2
adeh,4
adekuat,1
adem,1
adempauze,2
adendum,2
adenoid,2
adenoma,2
adhesi,2
adhesif,1
adiabatik,1
adib,4
adibintang,2
adiboga,2
adibusana,2
adidaya,1
adigang,1
adiguna,1
adigung,1
adik,2
adika,1
adikara,1
adikarya,2
adikodrati,1
adiksi,2
adiktif,1
adikuasa,1
adil,1
adiluhung,1
adimarga,2
adinda,2
adipati,2
adipenghantar,2
adiposa,2
adipositas,2
adipura,2
adiraja,2
adiratna,2
adisi,2
adisional,1
aditif,1
aditokoh,2
adiwangsa,2
adiwarna,1
adjektif,2
adjektiva,2
adjektival,1
adjuvan,2
administrasi,2
administratif,1
administrator,2
admiral,2
admitans,2
adnan,2
adolesens,2
adon,4
adopsi,2
adoptif,1
adpertensi,2
adrenal,2
adrenalin,2
adrenergik,1
adres,2
adsorben,2
adsorpsi,2
adstringen,2
adu,4
adu domba,4
adu untung,4
aduhai,7
aduk,4
aduksi,2
aduktor,2
adun,1
adveksi,2
adventisia,2
adventisius,1
adverbia,2
adverbial,1
advertensi,2
advis,2
advokasi,2
advokat,2
aerasi,2
aerator,2
aerob,2
aerobatik,2
aerobik,1
